degree,field,gpa,experience,graduation_year,skills,target_role
BSc,CSE,6.75,7,2018,"dsa,java",Web Developer
BTech,ECE,5.65,1,2024,"c,signals",Electrical Engineer
MCA,AI/ML,6.43,5,2020,"ml,python",Software Engineer
MCA,CSE,8.01,5,2020,"java,sql",Software Engineer
BSc,Data Science,9.15,1,2024,"statistics,sql",Data Scientist
BTech,CSE,7.42,4,2021,"dsa,python",Web Developer
BTech,HR,6.77,3,2022,"recruitment,communication",Business Analyst
MBA,Mechanical,9.4,3,2022,"design,solidworks",Mechanical Engineer
MBA,HR,8.61,5,2020,"communication,recruitment",Business Analyst
MTech,IT,6.16,6,2019,"html,css",Web Developer
MTech,AI/ML,9.74,1,2024,"deep learning,ml",Data Scientist
MTech,HR,8.22,7,2018,"recruitment,communication",Business Analyst
MBA,Mechanical,6.25,6,2019,"design,solidworks",Mechanical Engineer
BSc,EEE,7.48,3,2022,"circuits,power systems",Electrical Engineer
MCA,CSE,8.14,0,2025,"java,python",Software Engineer
MBA,Mechanical,7.61,0,2025,"solidworks,design",Mechanical Engineer
BTech,CSE,9.25,7,2018,"java,sql",Software Engineer
MCA,AI/ML,9.24,6,2019,"ml,python",Data Scientist
MCA,ECE,5.53,3,2022,"c,signals",Electrical Engineer
MCA,EEE,8.71,2,2023,"circuits,power systems",Electrical Engineer
MTech,Data Science,7.98,7,2018,"statistics,sql",Data Scientist
BSc,ECE,9.43,0,2025,"embedded,c",Electrical Engineer
MCA,ECE,7.31,6,2019,"signals,c",Electrical Engineer
BSc,Mechanical,7.74,7,2018,"design,solidworks",Mechanical Engineer
BSc,EEE,9.05,1,2024,"power systems,circuits",Electrical Engineer
MBA,Civil,5.66,4,2021,"autocad,construction",Civil Engineer
MBA,CSE,7.64,4,2021,"python,dsa",Web Developer
BSc,IT,7.21,2,2023,"react,css",Web Developer
MCA,Civil,5.7,0,2025,"construction,autocad",Civil Engineer
MBA,Data Science,7.77,2,2023,"sql,python",Data Scientist
BSc,CSE,8.92,6,2019,"java,python",Software Engineer
BTech,EEE,9.55,3,2022,"power systems,circuits",Electrical Engineer
MCA,Mechanical,7.87,5,2020,"solidworks,design",Mechanical Engineer
BSc,HR,9.72,5,2020,"communication,recruitment",Business Analyst
MCA,Civil,8.03,0,2025,"construction,autocad",Civil Engineer
BSc,IT,5.6,1,2024,"react,html",Web Developer
BSc,Data Science,5.85,5,2020,"sql,statistics",Software Engineer
MBA,EEE,9.1,5,2020,"circuits,power systems",Electrical Engineer
BSc,ECE,6.39,4,2021,"signals,c",Electrical Engineer
MBA,Mechanical,8.91,3,2022,"design,solidworks",Mechanical Engineer
MCA,CSE,8.8,3,2022,"sql,java",Software Engineer
BSc,Data Science,8.33,4,2021,"sql,python",Data Scientist
MTech,AI/ML,5.83,2,2023,"deep learning,ml",Software Engineer
MTech,ECE,8.5,2,2023,"signals,c",Electrical Engineer
MCA,ECE,9.08,0,2025,"embedded,signals",Electrical Engineer
MTech,CSE,8.07,7,2018,"java,sql",Software Engineer
MBA,AI/ML,6.05,3,2022,"python,deep learning",Software Engineer
MCA,Mechanical,9.37,3,2022,"solidworks,design",Mechanical Engineer
MBA,Mechanical,6.07,6,2019,"solidworks,design",Mechanical Engineer
BSc,ECE,8.11,1,2024,"embedded,signals",Electrical Engineer
BSc,EEE,7.46,2,2023,"power systems,circuits",Electrical Engineer
MBA,EEE,6.72,1,2024,"power systems,circuits",Electrical Engineer
MTech,ECE,8.85,0,2025,"signals,embedded",Electrical Engineer
BTech,EEE,7.9,0,2025,"circuits,power systems",Electrical Engineer
MBA,ECE,8.43,4,2021,"embedded,signals",Electrical Engineer
BTech,Data Science,6.1,6,2019,"ml,statistics",Software Engineer
MCA,IT,6.48,7,2018,"js,html",Web Developer
BTech,Mechanical,7.2,2,2023,"solidworks,design",Mechanical Engineer
MCA,HR,9.33,7,2018,"communication,recruitment",Business Analyst
MBA,Mechanical,8.9,1,2024,"solidworks,design",Mechanical Engineer
MTech,CSE,5.65,7,2018,"python,sql",Web Developer
BSc,EEE,7.89,1,2024,"power systems,circuits",Electrical Engineer
BTech,Mechanical,9.5,1,2024,"solidworks,design",Mechanical Engineer
MCA,Mechanical,9.42,5,2020,"solidworks,design",Mechanical Engineer
BTech,Civil,7.14,4,2021,"autocad,construction",Civil Engineer
BTech,AI/ML,6.29,3,2022,"python,ml",Software Engineer
MBA,Data Science,7.35,7,2018,"ml,python",Software Engineer
MBA,Data Science,9.08,5,2020,"python,sql",Data Scientist
MTech,IT,7.53,5,2020,"css,js",Web Developer
BSc,ECE,6.14,6,2019,"c,signals",Electrical Engineer
MCA,HR,7.42,7,2018,"communication,recruitment",Business Analyst
MTech,Mechanical,6.48,1,2024,"design,solidworks",Mechanical Engineer
MCA,EEE,6.88,0,2025,"circuits,power systems",Electrical Engineer
MCA,CSE,9.39,1,2024,"python,java",Software Engineer
MTech,Data Science,9.45,7,2018,"ml,statistics",Data Scientist
BTech,IT,6.06,6,2019,"html,react",Web Developer
MBA,EEE,6.18,1,2024,"circuits,power systems",Electrical Engineer
MBA,EEE,8.09,3,2022,"circuits,power systems",Electrical Engineer
BSc,ECE,8.65,2,2023,"signals,c",Electrical Engineer
MTech,IT,6.07,7,2018,"react,js",Web Developer
MTech,CSE,6.14,4,2021,"python,dsa",Web Developer
BTech,Civil,8.64,6,2019,"autocad,construction",Civil Engineer
BTech,ECE,5.5,7,2018,"c,signals",Electrical Engineer
MTech,Mechanical,8.19,2,2023,"design,solidworks",Mechanical Engineer
MBA,Civil,9.74,5,2020,"construction,autocad",Civil Engineer
MBA,CSE,9.18,0,2025,"dsa,python",Software Engineer
MCA,IT,7.01,7,2018,"js,css",Web Developer
MTech,Civil,8.78,7,2018,"autocad,construction",Civil Engineer
BTech,HR,9.13,0,2025,"communication,recruitment",Business Analyst
BSc,AI/ML,6.95,3,2022,"deep learning,python",Software Engineer
BTech,EEE,5.8,7,2018,"power systems,circuits",Electrical Engineer
MTech,CSE,7.22,0,2025,"sql,java",Web Developer
MCA,CSE,9.17,3,2022,"dsa,sql",Software Engineer
MTech,ECE,6.2,0,2025,"embedded,signals",Electrical Engineer
BSc,EEE,6.26,4,2021,"power systems,circuits",Electrical Engineer
BTech,Mechanical,8.64,5,2020,"solidworks,design",Mechanical Engineer
MTech,EEE,5.93,1,2024,"circuits,power systems",Electrical Engineer
MTech,Mechanical,9.2,1,2024,"solidworks,design",Mechanical Engineer
MBA,Civil,9.4,5,2020,"construction,autocad",Civil Engineer
MBA,ECE,6.45,5,2020,"signals,embedded",Electrical Engineer
MTech,ECE,8.4,3,2022,"c,embedded",Electrical Engineer
MTech,AI/ML,7.05,1,2024,"python,deep learning",Software Engineer
BTech,IT,6.76,7,2018,"html,react",Web Developer
BSc,EEE,6.5,3,2022,"power systems,circuits",Electrical Engineer
MTech,Data Science,8.67,6,2019,"python,ml",Data Scientist
MBA,Civil,9.49,5,2020,"construction,autocad",Civil Engineer
MTech,Mechanical,8.27,1,2024,"design,solidworks",Mechanical Engineer
BSc,ECE,8.03,7,2018,"c,signals",Electrical Engineer
BTech,ECE,6.09,0,2025,"embedded,signals",Electrical Engineer
MCA,IT,5.81,7,2018,"js,html",Web Developer
BTech,Data Science,6.06,1,2024,"ml,python",Software Engineer
BSc,CSE,5.62,2,2023,"python,java",Web Developer
BTech,AI/ML,6.4,3,2022,"python,deep learning",Software Engineer
BSc,ECE,8.42,3,2022,"embedded,signals",Electrical Engineer
MTech,HR,9.35,1,2024,"communication,recruitment",Business Analyst
MCA,Civil,5.62,5,2020,"construction,autocad",Civil Engineer
MCA,IT,6.43,5,2020,"js,react",Web Developer
MTech,IT,5.98,0,2025,"js,css",Web Developer
BSc,ECE,8.07,6,2019,"embedded,c",Electrical Engineer
BTech,AI/ML,6.94,0,2025,"ml,python",Software Engineer
BSc,AI/ML,6.04,3,2022,"deep learning,python",Software Engineer
MBA,ECE,7.73,7,2018,"embedded,c",Electrical Engineer
BTech,AI/ML,6.16,7,2018,"ml,python",Software Engineer
BTech,HR,9.27,2,2023,"recruitment,communication",Business Analyst
BSc,Civil,8.69,4,2021,"construction,autocad",Civil Engineer
MCA,Data Science,7.31,5,2020,"python,ml",Software Engineer
MBA,AI/ML,6.23,7,2018,"deep learning,python",Software Engineer
MBA,AI/ML,6.24,3,2022,"python,ml",Software Engineer
BSc,Civil,8.65,2,2023,"construction,autocad",Civil Engineer
MTech,EEE,8.82,0,2025,"circuits,power systems",Electrical Engineer
BSc,HR,8.19,2,2023,"recruitment,communication",Business Analyst
MTech,EEE,6.02,2,2023,"power systems,circuits",Electrical Engineer
BSc,Data Science,9.15,6,2019,"python,ml",Data Scientist
MTech,Mechanical,8.68,7,2018,"solidworks,design",Mechanical Engineer
BSc,HR,7.66,2,2023,"recruitment,communication",Business Analyst
BTech,HR,7.1,0,2025,"recruitment,communication",Business Analyst
BSc,Mechanical,5.8,4,2021,"design,solidworks",Mechanical Engineer
BTech,AI/ML,7.18,1,2024,"ml,deep learning",Software Engineer
BTech,Data Science,7.62,5,2020,"sql,statistics",Data Scientist
BTech,Civil,5.58,4,2021,"construction,autocad",Civil Engineer
BTech,EEE,8.16,0,2025,"circuits,power systems",Electrical Engineer
MCA,AI/ML,6.15,7,2018,"deep learning,python",Software Engineer
MBA,EEE,7.26,2,2023,"circuits,power systems",Electrical Engineer
MTech,HR,9.35,7,2018,"communication,recruitment",Business Analyst
MBA,HR,8.2,7,2018,"recruitment,communication",Business Analyst
MBA,AI/ML,6.71,6,2019,"deep learning,ml",Software Engineer
BSc,Data Science,6.52,4,2021,"ml,sql",Software Engineer
BSc,Data Science,8.32,6,2019,"sql,statistics",Data Scientist
BTech,ECE,8.13,2,2023,"signals,embedded",Electrical Engineer
MTech,Data Science,7.4,1,2024,"python,statistics",Software Engineer
MTech,ECE,7.23,3,2022,"c,embedded",Electrical Engineer
BSc,ECE,5.77,5,2020,"c,signals",Electrical Engineer
MTech,Mechanical,8.0,5,2020,"solidworks,design",Mechanical Engineer
MBA,AI/ML,5.95,6,2019,"deep learning,python",Software Engineer
BTech,IT,8.72,7,2018,"js,html",Software Engineer
MTech,Civil,5.93,6,2019,"autocad,construction",Civil Engineer
BSc,AI/ML,8.42,7,2018,"deep learning,ml",Data Scientist
MBA,Civil,8.73,6,2019,"construction,autocad",Civil Engineer
BTech,HR,7.41,5,2020,"communication,recruitment",Business Analyst
BTech,EEE,8.98,0,2025,"power systems,circuits",Electrical Engineer
MTech,AI/ML,8.35,7,2018,"ml,deep learning",Data Scientist
BTech,AI/ML,8.1,0,2025,"ml,deep learning",Data Scientist
BSc,Data Science,8.81,3,2022,"python,ml",Data Scientist
MCA,Data Science,7.69,0,2025,"sql,ml",Data Scientist
MBA,IT,7.27,2,2023,"react,js",Web Developer
BSc,Data Science,8.35,7,2018,"ml,python",Data Scientist
BTech,ECE,9.28,5,2020,"signals,embedded",Electrical Engineer
MCA,CSE,9.72,1,2024,"dsa,python",Software Engineer
BTech,ECE,5.72,5,2020,"embedded,signals",Electrical Engineer
MBA,Data Science,7.63,6,2019,"sql,statistics",Data Scientist
BSc,ECE,7.47,0,2025,"embedded,signals",Electrical Engineer
BSc,AI/ML,7.79,2,2023,"ml,deep learning",Data Scientist
MCA,HR,7.38,4,2021,"communication,recruitment",Business Analyst
BTech,AI/ML,9.14,7,2018,"deep learning,python",Data Scientist
BSc,AI/ML,8.4,5,2020,"python,deep learning",Data Scientist
MTech,IT,9.12,0,2025,"css,react",Software Engineer
MBA,IT,9.79,3,2022,"css,js",Software Engineer
BTech,Civil,7.29,7,2018,"construction,autocad",Civil Engineer
BTech,ECE,9.7,4,2021,"c,signals",Electrical Engineer
MBA,IT,5.96,2,2023,"css,html",Web Developer
BSc,Civil,9.25,5,2020,"autocad,construction",Civil Engineer
MTech,ECE,5.73,0,2025,"embedded,c",Electrical Engineer
MBA,IT,5.6,0,2025,"react,js",Web Developer
MCA,AI/ML,8.45,0,2025,"deep learning,ml",Data Scientist
BTech,ECE,7.83,2,2023,"c,signals",Electrical Engineer
MCA,IT,9.37,3,2022,"html,react",Software Engineer
MTech,Civil,8.56,4,2021,"autocad,construction",Civil Engineer
MBA,IT,9.13,0,2025,"js,css",Software Engineer
MCA,IT,7.68,3,2022,"js,html",Web Developer
BSc,ECE,7.57,0,2025,"signals,embedded",Electrical Engineer
BTech,Civil,6.46,7,2018,"autocad,construction",Civil Engineer
MCA,IT,9.74,7,2018,"html,react",Software Engineer
MTech,Mechanical,5.88,3,2022,"solidworks,design",Mechanical Engineer
MBA,IT,6.69,2,2023,"react,html",Web Developer
MCA,Mechanical,6.51,0,2025,"solidworks,design",Mechanical Engineer
BSc,Mechanical,7.03,6,2019,"solidworks,design",Mechanical Engineer
BTech,CSE,8.73,3,2022,"dsa,python",Software Engineer
MBA,HR,6.52,2,2023,"communication,recruitment",Business Analyst
MCA,IT,6.14,0,2025,"html,js",Web Developer
MCA,Civil,6.31,6,2019,"construction,autocad",Civil Engineer
MTech,Civil,7.08,5,2020,"construction,autocad",Civil Engineer
BTech,EEE,6.6,4,2021,"circuits,power systems",Electrical Engineer
BTech,Data Science,8.23,2,2023,"python,ml",Data Scientist
MCA,ECE,8.34,3,2022,"embedded,signals",Electrical Engineer
MBA,AI/ML,8.9,3,2022,"python,ml",Data Scientist
BSc,Civil,6.69,5,2020,"autocad,construction",Civil Engineer
BTech,ECE,8.5,1,2024,"embedded,signals",Electrical Engineer
BSc,EEE,8.84,4,2021,"circuits,power systems",Electrical Engineer
MBA,HR,6.05,2,2023,"recruitment,communication",Business Analyst
MTech,Data Science,7.64,7,2018,"ml,sql",Data Scientist
MCA,Data Science,7.22,7,2018,"sql,statistics",Software Engineer
BTech,IT,6.39,2,2023,"js,html",Web Developer
BSc,HR,7.0,0,2025,"communication,recruitment",Business Analyst
MBA,Mechanical,6.42,6,2019,"solidworks,design",Mechanical Engineer
BSc,Mechanical,7.44,7,2018,"solidworks,design",Mechanical Engineer
MCA,Mechanical,8.5,2,2023,"design,solidworks",Mechanical Engineer
BSc,ECE,5.84,1,2024,"signals,embedded",Electrical Engineer
BSc,ECE,5.98,4,2021,"signals,c",Electrical Engineer
BSc,ECE,9.75,0,2025,"c,embedded",Electrical Engineer
BSc,IT,6.47,0,2025,"css,html",Web Developer
MBA,Data Science,9.52,4,2021,"ml,statistics",Data Scientist
BTech,Mechanical,8.74,0,2025,"solidworks,design",Mechanical Engineer
BSc,IT,6.04,3,2022,"css,html",Web Developer
BTech,Civil,7.76,3,2022,"autocad,construction",Civil Engineer
BTech,Mechanical,9.07,4,2021,"design,solidworks",Mechanical Engineer
MBA,ECE,7.75,2,2023,"signals,c",Electrical Engineer
MBA,Data Science,8.78,0,2025,"sql,python",Data Scientist
BTech,CSE,7.4,1,2024,"python,sql",Web Developer
MTech,AI/ML,5.51,3,2022,"python,ml",Software Engineer
MTech,EEE,9.55,6,2019,"power systems,circuits",Electrical Engineer
BSc,ECE,8.67,2,2023,"c,embedded",Electrical Engineer
MBA,CSE,6.37,7,2018,"python,dsa",Web Developer
BSc,IT,8.71,0,2025,"css,html",Software Engineer
BTech,IT,7.2,4,2021,"react,html",Web Developer
MCA,EEE,8.91,0,2025,"circuits,power systems",Electrical Engineer
BSc,Data Science,8.2,7,2018,"statistics,python",Data Scientist
MTech,Data Science,8.18,7,2018,"sql,statistics",Data Scientist
BSc,Mechanical,5.79,1,2024,"solidworks,design",Mechanical Engineer
MBA,Data Science,9.52,4,2021,"python,ml",Data Scientist
BSc,Civil,9.34,4,2021,"construction,autocad",Civil Engineer
BSc,HR,9.67,2,2023,"communication,recruitment",Business Analyst
MTech,Civil,8.01,1,2024,"construction,autocad",Civil Engineer
BSc,AI/ML,8.39,4,2021,"ml,deep learning",Data Scientist
BSc,EEE,9.15,0,2025,"circuits,power systems",Electrical Engineer
MBA,IT,7.89,4,2021,"js,css",Web Developer
MBA,HR,8.36,2,2023,"recruitment,communication",Business Analyst
MBA,Civil,7.16,3,2022,"construction,autocad",Civil Engineer
BTech,IT,9.79,4,2021,"js,html",Software Engineer
BSc,Data Science,7.1,1,2024,"statistics,python",Software Engineer
BTech,CSE,7.51,6,2019,"sql,dsa",Web Developer
BTech,Civil,8.85,6,2019,"autocad,construction",Civil Engineer
BTech,ECE,9.79,5,2020,"signals,c",Electrical Engineer
MCA,Data Science,6.41,5,2020,"ml,python",Software Engineer
BSc,IT,9.72,7,2018,"react,js",Software Engineer
BSc,Mechanical,9.54,3,2022,"design,solidworks",Mechanical Engineer
MCA,AI/ML,7.79,4,2021,"ml,deep learning",Data Scientist
MTech,ECE,9.24,0,2025,"signals,c",Electrical Engineer
MCA,IT,7.26,5,2020,"css,js",Web Developer
BTech,Data Science,6.86,1,2024,"sql,statistics",Software Engineer
MCA,AI/ML,8.01,0,2025,"ml,python",Data Scientist
MCA,Mechanical,7.04,0,2025,"solidworks,design",Mechanical Engineer
BTech,Civil,5.93,3,2022,"autocad,construction",Civil Engineer
BSc,Civil,9.41,0,2025,"autocad,construction",Civil Engineer
MCA,ECE,6.13,7,2018,"c,signals",Electrical Engineer
BSc,CSE,7.65,1,2024,"dsa,java",Web Developer
BTech,Data Science,6.1,3,2022,"sql,python",Software Engineer
BTech,CSE,7.74,2,2023,"dsa,python",Web Developer
BSc,HR,7.91,7,2018,"communication,recruitment",Business Analyst
MCA,Civil,9.25,5,2020,"autocad,construction",Civil Engineer
BTech,ECE,7.86,7,2018,"signals,c",Electrical Engineer
MBA,AI/ML,7.01,3,2022,"ml,deep learning",Software Engineer
BTech,IT,9.12,2,2023,"react,html",Software Engineer
MTech,HR,6.26,2,2023,"recruitment,communication",Business Analyst
MBA,Data Science,9.12,0,2025,"statistics,python",Data Scientist
BTech,EEE,6.42,7,2018,"power systems,circuits",Electrical Engineer
MBA,Mechanical,7.96,7,2018,"solidworks,design",Mechanical Engineer
BTech,CSE,6.56,0,2025,"sql,python",Web Developer
MBA,HR,6.84,5,2020,"communication,recruitment",Business Analyst
MTech,Mechanical,5.51,4,2021,"design,solidworks",Mechanical Engineer
BSc,CSE,9.15,1,2024,"python,sql",Software Engineer
MCA,Data Science,7.85,0,2025,"sql,statistics",Data Scientist
BTech,Mechanical,7.07,7,2018,"solidworks,design",Mechanical Engineer
MCA,HR,7.56,0,2025,"communication,recruitment",Business Analyst
MTech,Civil,5.56,4,2021,"autocad,construction",Civil Engineer
MBA,EEE,6.81,2,2023,"circuits,power systems",Electrical Engineer
MTech,Civil,7.04,5,2020,"construction,autocad",Civil Engineer
MCA,EEE,7.87,3,2022,"circuits,power systems",Electrical Engineer
MCA,Mechanical,7.13,6,2019,"solidworks,design",Mechanical Engineer
MBA,HR,7.39,3,2022,"recruitment,communication",Business Analyst
BSc,Civil,8.94,1,2024,"autocad,construction",Civil Engineer
BTech,Civil,7.03,6,2019,"autocad,construction",Civil Engineer
BTech,CSE,8.05,0,2025,"dsa,python",Software Engineer
BTech,EEE,5.53,2,2023,"power systems,circuits",Electrical Engineer
BTech,CSE,6.15,6,2019,"dsa,java",Web Developer
MCA,AI/ML,5.52,2,2023,"python,ml",Software Engineer
MBA,Mechanical,5.72,3,2022,"solidworks,design",Mechanical Engineer
BTech,EEE,8.34,2,2023,"circuits,power systems",Electrical Engineer
MCA,IT,8.35,2,2023,"js,css",Software Engineer
BTech,ECE,9.79,3,2022,"embedded,c",Electrical Engineer
MCA,IT,5.93,1,2024,"css,js",Web Developer
MBA,IT,9.05,3,2022,"js,react",Software Engineer
MTech,Data Science,7.92,5,2020,"python,statistics",Data Scientist
BTech,AI/ML,8.1,1,2024,"deep learning,python",Data Scientist
BSc,CSE,7.51,3,2022,"dsa,java",Web Developer
BSc,Mechanical,7.93,0,2025,"design,solidworks",Mechanical Engineer
MBA,IT,8.94,5,2020,"html,js",Software Engineer
MBA,EEE,8.87,4,2021,"circuits,power systems",Electrical Engineer
BTech,HR,8.05,1,2024,"communication,recruitment",Business Analyst
BSc,ECE,6.47,7,2018,"embedded,signals",Electrical Engineer
MTech,ECE,6.14,5,2020,"embedded,signals",Electrical Engineer
MCA,CSE,7.64,2,2023,"java,python",Web Developer
MCA,HR,9.51,4,2021,"recruitment,communication",Business Analyst
BSc,IT,8.58,7,2018,"css,js",Software Engineer
BSc,Civil,6.52,2,2023,"autocad,construction",Civil Engineer
MCA,Data Science,9.75,7,2018,"ml,sql",Data Scientist
MBA,Mechanical,6.33,7,2018,"design,solidworks",Mechanical Engineer
MTech,Mechanical,5.61,6,2019,"design,solidworks",Mechanical Engineer
MBA,Civil,8.84,1,2024,"construction,autocad",Civil Engineer
MCA,AI/ML,9.66,2,2023,"deep learning,ml",Data Scientist
MCA,CSE,7.02,4,2021,"sql,python",Web Developer
MTech,Civil,8.47,7,2018,"autocad,construction",Civil Engineer
BTech,ECE,7.51,3,2022,"embedded,c",Electrical Engineer
BTech,CSE,9.66,1,2024,"python,sql",Software Engineer
BSc,ECE,5.52,1,2024,"embedded,c",Electrical Engineer
MCA,EEE,5.78,4,2021,"circuits,power systems",Electrical Engineer
BSc,CSE,6.31,2,2023,"sql,java",Web Developer
MBA,ECE,5.54,4,2021,"embedded,c",Electrical Engineer
MCA,Data Science,9.78,2,2023,"ml,python",Data Scientist
MCA,EEE,9.11,1,2024,"circuits,power systems",Electrical Engineer
BSc,HR,7.75,6,2019,"recruitment,communication",Business Analyst
BTech,Data Science,5.77,1,2024,"sql,python",Software Engineer
MCA,Civil,8.52,7,2018,"autocad,construction",Civil Engineer
BSc,ECE,7.97,1,2024,"c,signals",Electrical Engineer
BSc,AI/ML,6.49,3,2022,"ml,python",Software Engineer
MBA,ECE,6.24,7,2018,"embedded,c",Electrical Engineer
MCA,HR,8.25,2,2023,"communication,recruitment",Business Analyst
BTech,Data Science,6.15,2,2023,"ml,statistics",Software Engineer
BSc,Mechanical,7.77,7,2018,"solidworks,design",Mechanical Engineer
MBA,AI/ML,5.58,3,2022,"python,ml",Software Engineer
BTech,Data Science,7.96,7,2018,"sql,statistics",Data Scientist
MTech,CSE,6.79,5,2020,"java,sql",Web Developer
MCA,IT,7.76,4,2021,"js,css",Web Developer
BSc,CSE,8.24,1,2024,"dsa,python",Software Engineer
BTech,Mechanical,7.08,6,2019,"design,solidworks",Mechanical Engineer
BTech,AI/ML,7.86,2,2023,"deep learning,ml",Data Scientist
BSc,HR,9.71,3,2022,"communication,recruitment",Business Analyst
MBA,CSE,6.39,7,2018,"sql,dsa",Web Developer
BSc,IT,8.21,2,2023,"react,js",Software Engineer
MBA,ECE,8.4,2,2023,"signals,c",Electrical Engineer
MCA,Data Science,9.7,7,2018,"sql,ml",Data Scientist
MCA,Data Science,7.21,0,2025,"statistics,sql",Software Engineer
MBA,EEE,6.96,5,2020,"power systems,circuits",Electrical Engineer
MCA,IT,9.71,1,2024,"html,css",Software Engineer
MBA,CSE,6.53,2,2023,"sql,python",Web Developer
BTech,Data Science,6.5,2,2023,"statistics,ml",Software Engineer
MTech,ECE,6.36,4,2021,"signals,embedded",Electrical Engineer
BTech,Mechanical,9.45,0,2025,"design,solidworks",Mechanical Engineer
BTech,HR,9.79,4,2021,"communication,recruitment",Business Analyst
MBA,ECE,6.68,2,2023,"c,signals",Electrical Engineer
BTech,EEE,5.61,3,2022,"power systems,circuits",Electrical Engineer
BSc,HR,9.29,7,2018,"communication,recruitment",Business Analyst
BSc,AI/ML,7.33,4,2021,"python,deep learning",Software Engineer
BTech,CSE,5.79,6,2019,"sql,java",Web Developer
MCA,HR,9.3,5,2020,"communication,recruitment",Business Analyst
MBA,IT,7.59,2,2023,"react,js",Web Developer
MTech,IT,8.63,1,2024,"css,js",Software Engineer
MTech,ECE,8.5,6,2019,"embedded,c",Electrical Engineer
MCA,ECE,8.72,4,2021,"signals,c",Electrical Engineer
MTech,CSE,5.57,5,2020,"python,java",Web Developer
BSc,CSE,7.21,3,2022,"java,sql",Web Developer
MCA,AI/ML,9.55,7,2018,"deep learning,python",Data Scientist
MBA,Mechanical,6.57,3,2022,"design,solidworks",Mechanical Engineer
MCA,Mechanical,5.74,2,2023,"design,solidworks",Mechanical Engineer
BTech,ECE,6.23,1,2024,"signals,c",Electrical Engineer
BTech,AI/ML,7.44,6,2019,"deep learning,python",Software Engineer
BTech,HR,9.09,2,2023,"communication,recruitment",Business Analyst
MBA,Data Science,6.84,6,2019,"ml,sql",Software Engineer
MBA,Data Science,8.21,2,2023,"statistics,sql",Data Scientist
BTech,IT,8.61,5,2020,"react,js",Software Engineer
BTech,ECE,6.02,2,2023,"embedded,c",Electrical Engineer
BSc,HR,6.63,0,2025,"communication,recruitment",Business Analyst
MTech,ECE,6.75,7,2018,"signals,c",Electrical Engineer
MCA,Mechanical,6.59,2,2023,"solidworks,design",Mechanical Engineer
BTech,Data Science,7.25,4,2021,"python,statistics",Software Engineer
MTech,ECE,9.29,4,2021,"c,signals",Electrical Engineer
BTech,Data Science,8.19,0,2025,"statistics,python",Data Scientist
MTech,Data Science,8.63,0,2025,"ml,python",Data Scientist
